img_name,Head_x,Head_y,LShoulder_x,LShoulder_y,RShoulder_x,RShoulder_y,LElbow_x,LElbow_y,RElbow_x,RElbow_y,LWrist_x,LWrist_y,RWrist_x,RWrist_y,LHip_x,LHip_y,RHip_x,RHip_y,LKnee_x,LKnee_y,Rknee_x,Rknee_y,LAnkle_x,LAnkle_y,RAnkle_x,RAnkle_y,Neck_x,Neck_y,Hip_x,Hip_y
000000.jpg,1322.7807059556799,987.5528699563084,1402.4185259389653,1096.8680193627513,1377.956140663981,1056.1405210510554,1365.9077494220785,1230.3111887127882,1351.125357557232,1173.4744856836205,1294.912129250754,1279.5653058179512,1291.9844791580163,1258.9013258407415,1388.663463540097,1301.1234284463749,1385.0023620593752,1271.163342591986,1194.99489356289,1353.8545271491944,1197.6407480579014,1316.205889469624,1388.1725346091403,1365.626107946231,1368.4018753506632,1333.3761533054044,1384.5137965110969,1040.3382537274197,1396.7202808583054,1283.5746756739943
000001.jpg,1323.3440965504583,988.2684332788457,1403.3142688578703,1097.5764698835048,1377.4214973443975,1055.6914976348814,1366.2838547380554,1230.5573986068825,1350.1221013307897,1173.5953613457707,1294.5382941024309,1279.2187135291797,1290.2515677230263,1261.54421150689,1393.6652429635947,1306.32233699862,1387.2577245570294,1269.6265503286604,1193.686096454553,1352.9417210068998,1199.3485616530024,1317.074591998829,1391.523439577101,1366.3077543051463,1382.8096741695615,1339.8794359466438,1384.5602994609953,1040.4611844330204,1397.107358339087,1285.5782824345763
000002.jpg,1322.1308479134175,986.9327014791046,1401.1253572707365,1096.8265062203643,1378.7249061839225,1054.746664745507,1365.969503105208,1230.0720509272264,1350.867899298978,1173.986256513499,1294.4598748676713,1280.3721119806614,1289.8459653853897,1261.0606702658501,1387.7457842390766,1300.1167334766528,1385.9540332032818,1269.1863004580011,1196.9905438729832,1354.1697953577975,1199.3973298462492,1316.085026254366,1392.0304483590207,1363.3186246387932,1378.8960923740021,1338.7576130817831,1384.0953822855392,1040.4186543834537,1398.2866699004303,1283.5749766288402
000003.jpg,1322.3980269762033,986.792643285691,1401.1892745337454,1097.4198426888772,1377.8808512724534,1055.3588184324594,1366.5858350275605,1230.7073194295585,1349.0782148505532,1175.4497411726193,1293.3598095800126,1278.9733113426955,1291.2467084135997,1261.0452236704841,1387.212318662633,1301.4083643777328,1385.3002557555972,1269.6618141216043,1195.3072426622055,1354.2798738374415,1199.6661767362727,1316.3416709594092,1390.923286900045,1362.2663376639127,1377.78134490935,1337.9563307281542,1384.9886655483556,1040.21710146528,1397.066640129031,1283.0431055837307
000004.jpg,1322.3255148769022,987.4565459403565,1400.693172387547,1096.6010080896722,1378.2130921515868,1054.1849889323878,1366.2267722986928,1229.734336569798,1350.4855393228422,1173.1982371614604,1293.8870482076231,1278.9979077432943,1292.324894768595,1259.255816327093,1382.7636400690103,1296.6320349157904,1386.5745870843114,1270.4076487902619,1195.0006075011238,1353.05366842491,1198.6594456886883,1315.7887372822902,1394.3632357323916,1361.916046905673,1387.4445027115405,1339.9096043953855,1384.0712663721974,1039.826441649286,1398.438130853787,1284.1602972701312
000005.jpg,1321.9456204628075,986.7833671564123,1401.15619283325,1097.19577874516,1377.2609037176412,1055.5798783416474,1366.9240293717774,1230.1371461715555,1349.969575282859,1174.5575855746943,1293.5771475647177,1279.7361969223712,1291.5635259848268,1259.0873252896674,1393.3134220370334,1304.5411685859874,1387.8134432432462,1270.6729529062345,1194.7842551646802,1354.2345510476828,1198.808557132089,1315.6861274270589,1391.7168080478305,1364.1053139392943,1385.086824821249,1339.0698633008635,1383.7108015938138,1039.9360509258988,1398.1079652588119,1284.6242613388606
000006.jpg,1322.3609856109733,986.6407590022447,1398.3691690371777,1099.0816279120493,1378.6507535195594,1055.6639777365576,1366.3218760045634,1230.6999580797506,1349.7018831237306,1172.6202853059617,1292.7690354852896,1280.3314133010826,1288.7498207317067,1261.3391097122974,1388.3178105226075,1300.9085975670678,1388.7443368943107,1270.6464713077005,1195.2180310989595,1354.3686455034072,1197.6253371315158,1315.6534118881273,1395.0110382101932,1364.6563352576866,1379.0514836377506,1338.7680576249056,1383.66565449428,1039.3550611756086,1397.8396983092011,1284.1236127458212
000007.jpg,1323.8563320442565,987.1407137806842,1401.9850588337251,1097.1658927730298,1377.8475274125485,1056.1575533604796,1365.5667289130945,1230.0285671831432,1349.0295890272646,1174.6519877538465,1294.461443037908,1279.5523872092667,1288.221959839088,1261.7288499795955,1394.6233451158373,1308.2116313615209,1387.0903757352955,1270.2308223726207,1196.7513087071795,1353.4256926052801,1198.5629293357485,1315.8476190038532,1392.9718390675525,1363.0675961977345,1379.3353700967482,1337.6630471725855,1383.5668815323656,1039.5523359399424,1397.6642901836863,1283.3519638760315
000008.jpg,1323.3743716468512,986.7144051823027,1401.4116810882638,1097.372054590327,1377.8710516597864,1055.7354963278317,1366.9262163470871,1231.5183789032242,1348.9877982834307,1173.2628921246842,1293.6992037761447,1280.2457549249116,1290.0371786894225,1259.873646958292,1389.1596614626349,1300.3477967799604,1387.436614667238,1269.3113123864,1194.078676342907,1353.5194480973116,1200.4325128206447,1317.3020424012445,1399.669819054553,1360.0757295150215,1383.8252060570476,1340.2462838937815,1382.652873451967,1039.3686781850417,1396.905101898546,1285.9469787506648
000009.jpg,1322.5579990628419,986.0388434184368,1401.281517344575,1097.109669439861,1377.7154222540398,1055.5824542523003,1366.524122665597,1230.6131520857855,1350.8322844299905,1174.7247477141557,1294.65186009926,1279.613648029285,1291.4887807447856,1260.320794556569,1393.4586886189545,1306.66396111264,1387.2237686362632,1270.022003629601,1195.925762690984,1353.1146182657735,1198.2751034034611,1315.1178565181278,1391.3652095841655,1364.27669730677,1375.4799761529478,1333.3776813431691,1382.9213523481988,1040.0799602614293,1395.492667912553,1284.2380044455317
